,id_book,name_book
13,10205/10206-360487,"soars,liz.thenewedition.newheadwayintermediatestudent'sbookучебник/l.soars,j.soars,2003.-159p."
14,10338/P97-614049,"purtilo,ruthb.ethicaldimensionsinthehealthprofessionsучебноепособие/r.b.purtilo,r.f.doherty,2011.-424p."
15,10342/B15-757617,"baggini,julian.thephilosopher'stoolkitacompendiumofphilosophicalconceptsandmethods/j.baggini,p.s.fosl,2010.-284p."
21,10385/J93-238647,"junqueira,luizcarlos.basichistologytextandatlas/l.c.junqueira,j.carneiro,2005.-502p."
22,10391/T17-700693,"talbot,marianne.bioethicsanintroduction/m.talbot,2012.-464p."
25,10395/M44-341749,"fundamentalsofgeneral,organic,andbiologicalchemistrytextbook/mcmurry,hoeger,peterson,ballantine,2014.-969p."
26,10395/M44-341749,"fundamentalsofgeneral,organic,andbiologicalchemistrytextbook/mcmurry,hoeger,peterson,ballantine,2014.-969p."
27,10403/K43-101845,"kierszenbaum,abrahaml.histologyandcellbiologyanintroductiontopathology/a.l.kierszenbaum,l.l.tres,2016.-734p."
30,10407/P80-856429,"ross,michaelh.histologyatextandatlas:withcorrelatedcellandmolecularbiology/m.h.ross,w.pawlina,2016.-984p."
38,340.6/Ш331-533746,"швайкова,мариядмитриевна.токсикологическаяхимияучебникдляфармацевтическихинститутовифармацевтическихфакультетовмедицинскихинститутов/м.д.швайкова,1975.-376с."
43,4И(Англ)/В679-135022,"волмянская,ольгаандреевна.профессиональныйанглийскийязыкдлястудентов-медиковучебноепособие/о.а.волмянская,1984.-180с."
44,4И(Англ)/Ж696-595282399,"жидкова,екатеринамихайловна.пособиепоанглийскомуязыкудлястаршихкурсовпедиатрическихфакультетовмедицинскихвузовучебноепособиедлястудентовмедицинскихвузов/е.м.жидкова,э.в.лукьянова,1983.-112с."
46,4И(Англ)/М316-231562701,"маслова,алевтинамакаровна.учебниканглийскогоязыкадлямедицинскихвузовучебникдлястудентовмедицинскихвузов/а.м.маслова,з.и.вайнштейн,л.с.плебейская,1983.-336с."
47,4И(Англ)/М688-982322600,"мифтахова,нэллихусаиновна.английскийязыкдляхимико-технологическихвузовучебноепособиедлястудентовхимико-технологическихспециальностейвысшихучебныхзаведений.часть2:заданиядлясамостоятельнойработыстудентов1-2курсов,1981.-144с."
48,4И(Англ)/П121-535978998,"павлова,нинаниколаевна.английскийязыкдлямедиковучебноепособиедлястудентовмедицинскихинститутов/н.н.павлова,и.в.рубан,1977.-280с."
