id_book,name_book
,(Посещение)
,* - Прочие  (Посещение)
,01 - Посещение №1  (Посещение)
,02 - Посещение №2  (Посещение)
,03 - Посещение №3  (Посещение)
,04 - Посещение №4  (Посещение)
**NOTVALIDRECORD625011**-850030,
**NOTVALIDRECORD831248**-348480,
**NOTVALIDRECORD851430**-228234,
-340953,
-362845,
-502197,
-737601,
10205/10206-360487,"Soars, Liz. The New edition. New Headway Intermediate Student's Book [Текст] : учебник / L. Soars, J. Soars, 2003. - 159 p."
10338/P97-614049,"Purtilo, Ruth B. Ethical dimensions in the health professions [Текст] : учебное пособие / R. B. Purtilo, R. F. Doherty, 2011. - 424 p."
10342/B15-757617,"Baggini, Julian. The philosopher's toolkit [Текст] : a compendium of philosophical concepts and methods / J. Baggini, P. S. Fosl, 2010. - 284 p."
10346/A83-698761,
10350/J77-599582,
10354/P80-723862,
10368/P92-837837,
10374/P92-433965,
10385/J93-238647,"Junqueira, Luiz Carlos. Basic Histology [Текст] : text and atlas / L. C. Junqueira, J. Carneiro, 2005. - 502 p."
10391/T17-700693,"Talbot, Marianne. Bioethics [Текст] : an introduction / M. Talbot, 2012. - 464 p."
10393/B71-562070,
10395/M44-341749,
10395/M44-341749,"Fundamentals of General, Organic, and Biological Chemistry [Текст] : textbook / McMurry, Hoeger, Peterson, Ballantine, 2014. - 969 p."
10395/M44-341749,"McMurry, Hoeger. Fundamentals of General, Organic, and Biological Chemistry [Текст] / H. McMurry, B. Peterson, 2014. - 969 p."
10403/K43-101845,"Kierszenbaum, Abraham L. Histology and Cell Biology [Текст] : an introduction to pathology / A. L. Kierszenbaum, L. L. Tres, 2016. - 734 p."
10405/J44-671235,
10407/P80-856429,
10407/P80-856429,"Ross, Michael H. Histology [Текст] : a text and atlas : with correlated cell and molecular biology / M. H. Ross, W. Pawlina, 2016. - 984 p."
161.1/Г859-847708,
19860221-537033,
2005№2-917222,
2005№3-763550,
2005№6-545025,
340.6/Ш190-626856,
340.6/Ш331-533746,
340.6/Ш331-533746,"Швайкова, Мария Дмитриевна. Токсикологическая химия [Текст] : учебник для фармацевтических институтов и фармацевтических факультетов медицинских институтов / М. Д. Швайкова, 1975. - 376 с."
340.67/Ш331-006534,
340/А924-264364,
340/Г874-693972,
4652-785615,
